time,current,voltage,soc_true
438,0.631949,4.18894,0.775945
439,0.439269,4.07507,0.775904
440,0.56979,3.75771,0.775851
441,0.698969,4.15745,0.775786
442,0.587129,4.05967,0.775732
443,0.932843,3.6794,0.775646
444,0.58526,4.15748,0.775591
445,0.49196,3.97095,0.775546
446,0.776469,3.83024,0.775474
447,0.58887,4.08455,0.77542
448,0.799476,3.96672,0.775345
449,0.836391,3.99523,0.775268
450,0.618707,4.03527,0.775211
451,0.341916,4.09779,0.775179
452,0.676024,4.05239,0.775116
453,0.662104,3.97656,0.775055
454,0.580892,3.74587,0.775001
455,0.85441,3.96949,0.774922
456,0.347198,3.98205,0.77489
457,0.370097,4.12629,0.774856
458,0.820228,4.02125,0.77478
459,0.257158,3.99834,0.774756
460,0.630683,3.91388,0.774698
461,0.818551,3.9722,0.774622
462,0.945383,3.8381,0.774534
463,0.324673,3.96331,0.774504
464,0.762664,3.97637,0.774434
465,0.749129,3.97951,0.774364
466,0.423858,3.94209,0.774325
467,0.794396,3.99048,0.774252
468,0.819116,4.14043,0.774176
469,0.62239,3.82006,0.774118
470,0.862771,3.92368,0.774038
471,0.466931,3.93027,0.773995
472,0.25036,3.87057,0.773972
473,0.859906,3.96371,0.773892
474,0.963655,3.97882,0.773803
475,0.33227,4.06843,0.773772
476,0.881074,4.14999,0.773691
477,0.461283,3.9839,0.773648
478,0.282786,3.85974,0.773622
479,0.965054,3.95054,0.773532
480,0.559692,3.90442,0.773481
481,0.29605,3.85809,0.773453
482,0.901856,3.8948,0.77337
483,0.719079,4.0456,0.773303
484,0.887637,3.97602,0.773221
485,0.737518,4.06347,0.773153
486,0.216073,3.80968,0.773133
487,0.332735,3.96088,0.773102
488,0.849172,4.09033,0.773023
489,0.841466,3.81064,0.772945
490,0.216224,4.11061,0.772925
491,0.352295,3.85814,0.772893
492,0.607843,3.98109,0.772836
493,0.48299,3.92055,0.772792
494,0.868772,4.00454,0.772711
495,0.790365,4.16745,0.772638
496,0.819443,3.98471,0.772562
497,0.399177,3.97907,0.772525
498,0.974779,3.90023,0.772435
499,0.577004,4.02992,0.772381
500,0.858313,3.91681,0.772302
501,0.932851,3.8318,0.772216
502,0.64968,3.84238,0.772155
503,0.733423,3.96975,0.772087
504,0.852363,3.87915,0.772009
505,0.21225,4.07187,0.771989
506,0.227892,3.89658,0.771968
507,0.724519,4.05017,0.771901
508,0.695117,3.98114,0.771836
509,0.667306,4.01902,0.771775
510,0.40223,3.88921,0.771737
511,0.506445,4.08747,0.77169
512,0.405066,3.96599,0.771653
513,0.452931,3.94245,0.771611
514,0.730592,3.71697,0.771543
515,0.344872,4.11951,0.771511
516,0.508109,4.02025,0.771464
517,0.898529,3.95756,0.771381
518,0.254693,4.12906,0.771358
519,0.843218,3.85787,0.771279
520,0.77164,4.05854,0.771208
521,0.960174,3.82415,0.771119
522,0.629891,3.99286,0.771061
523,0.365302,4.00085,0.771027
524,0.443145,4.0064,0.770986
525,0.765445,3.91863,0.770915
526,0.863337,3.81409,0.770835
527,0.264702,3.98958,0.770811
528,0.534764,3.88343,0.770761
529,0.447378,3.99349,0.77072
530,0.681083,3.90313,0.770657
531,0.752416,4.00067,0.770587
532,0.737879,3.63528,0.770519
533,0.269844,4.05265,0.770494
534,0.947122,4.08546,0.770406
535,0.499135,3.91623,0.77036
536,0.473411,4.18369,0.770316
537,0.327907,4.09614,0.770286
538,0.632299,3.97918,0.770227
539,0.878115,4.0727,0.770146
540,0.486435,3.78281,0.770101
541,0.866417,3.91469,0.77002
542,0.218574,3.72028,0.77
543,0.972432,3.87082,0.76991
544,0.257765,4.09256,0.769886
545,0.789547,3.9838,0.769813
546,0.857006,3.87837,0.769734
547,0.352323,3.86142,0.769701
548,0.616573,4.08857,0.769644
549,0.522521,3.94362,0.769596
550,0.238305,4.17353,0.769574
