time,current,voltage,soc_true
461,0.818551,3.97545,0.774622
462,0.945383,3.96884,0.774534
463,0.324673,3.99998,0.774504
464,0.762664,3.97792,0.774434
465,0.749129,3.97845,0.774364
466,0.423858,3.99476,0.774325
467,0.794396,3.97606,0.774252
468,0.819116,3.97464,0.774176
469,0.62239,3.9844,0.774118
470,0.862771,3.97217,0.774038
471,0.466931,3.99199,0.773995
472,0.25036,4.00298,0.773972
473,0.859906,3.97229,0.773892
474,0.963655,3.96683,0.773803
475,0.33227,3.99851,0.773772
476,0.881074,3.97084,0.773691
477,0.461283,3.99187,0.773648
478,0.282786,4.00093,0.773622
479,0.965054,3.96654,0.773532
480,0.559692,3.98678,0.773481
481,0.29605,4.00009,0.773453
482,0.901856,3.96956,0.77337
483,0.719079,3.97857,0.773303
484,0.887637,3.96992,0.773221
485,0.737518,3.9773,0.773153
486,0.216073,4.00355,0.773133
487,0.332735,3.99782,0.773102
488,0.849172,3.9718,0.773023
489,0.841466,3.97198,0.772945
490,0.216224,4.00342,0.772925
491,0.352295,3.99671,0.772893
492,0.607843,3.98387,0.772836
493,0.48299,3.99013,0.772792
494,0.868772,3.97062,0.772711
495,0.790365,3.97437,0.772638
496,0.819443,3.97273,0.772562
497,0.399177,3.99381,0.772525
498,0.974779,3.96475,0.772435
499,0.577004,3.9846,0.772381
500,0.858313,3.97033,0.772302
501,0.932851,3.96635,0.772216
502,0.64968,3.98044,0.772155
503,0.733423,3.97613,0.772087
504,0.852363,3.96999,0.772009
505,0.21225,4.00218,0.771989
506,0.227892,4.00158,0.771968
507,0.724519,3.97662,0.771901
508,0.695117,3.97798,0.771836
509,0.667306,3.97928,0.771775
510,0.40223,3.99261,0.771737
511,0.506445,3.9874,0.77169
512,0.405066,3.99253,0.771653
513,0.452931,3.99017,0.771611
514,0.730592,3.97616,0.771543
515,0.344872,3.99554,0.771511
516,0.508109,3.98737,0.771464
517,0.898529,3.96761,0.771381
518,0.254693,3.99995,0.771358
519,0.843218,3.97032,0.771279
520,0.77164,3.97374,0.771208
521,0.960174,3.96404,0.771119
522,0.629891,3.98049,0.771061
523,0.365302,3.9938,0.771027
524,0.443145,3.98995,0.770986
525,0.765445,3.97368,0.770915
526,0.863337,3.96857,0.770835
527,0.264702,3.99865,0.770811
528,0.534764,3.98513,0.770761
529,0.447378,3.98954,0.77072
530,0.681083,3.97774,0.770657
531,0.752416,3.97403,0.770587
532,0.737879,3.97461,0.770519
533,0.269844,3.99816,0.770494
534,0.947122,3.96403,0.770406
535,0.499135,3.98643,0.77036
536,0.473411,3.98774,0.770316
537,0.327907,3.99512,0.770286
538,0.632299,3.97982,0.770227
539,0.878115,3.9673,0.770146
540,0.486435,3.98689,0.770101
541,0.866417,3.96767,0.77002
542,0.218574,4.00024,0.77
543,0.972432,3.96226,0.76991
544,0.257765,3.99814,0.769886
545,0.789547,3.97138,0.769813
546,0.857006,3.96779,0.769734
547,0.352323,3.99312,0.769701
548,0.616573,3.97984,0.769644
549,0.522521,3.98453,0.769596
550,0.238305,3.9989,0.769574
551,0.678793,3.97676,0.769511
552,0.619154,3.97967,0.769453
553,0.571716,3.98199,0.769401
554,0.579178,3.98157,0.769347
555,0.615903,3.97966,0.76929
556,0.364026,3.99233,0.769256
557,0.261863,3.99757,0.769232
558,0.754094,3.9728,0.769162
559,0.958964,3.96227,0.769073
560,0.379944,3.99129,0.769038
561,0.221311,3.99938,0.769018
562,0.867591,3.96684,0.768937
563,0.669395,3.97664,0.768875
564,0.516511,3.98427,0.768828
565,0.697002,3.97512,0.768763
566,0.653346,3.9772,0.768702
567,0.56208,3.98172,0.76865
568,0.464391,3.98662,0.768607
569,0.673141,3.97607,0.768545
570,0.66414,3.97642,0.768484
571,0.886297,3.96507,0.768402
572,0.515052,3.98363,0.768354
573,0.611725,3.97872,0.768297
574,0.769772,3.97066,0.768226
575,0.890986,3.96436,0.768143
576,0.374512,3.99026,0.768109
577,0.424694,3.9878,0.768069
578,0.710168,3.97339,0.768004
579,0.392856,3.98932,0.767967
580,0.507167,3.9836,0.76792
581,0.353253,3.99138,0.767888
582,0.502444,3.98391,0.767841
583,0.647621,3.97655,0.767781
584,0.361206,3.99095,0.767748
585,0.716267,3.97305,0.767681
586,0.219374,3.99806,0.767661
587,0.413465,3.98839,0.767623
588,0.797219,3.96901,0.767549
589,0.919165,3.96265,0.767464
590,0.90435,3.96314,0.76738
591,0.657696,3.97537,0.767319
592,0.202503,3.9983,0.7673
593,0.803977,3.96804,0.767226
594,0.58949,3.9787,0.767171
595,0.594201,3.9784,0.767116
596,0.912303,3.96224,0.767032
597,0.727496,3.97135,0.766965
598,0.336527,3.99099,0.766933
599,0.549314,3.98032,0.766883
600,0.406826,3.98749,0.766845
601,0.22899,3.99654,0.766824
602,0.270598,3.99458,0.766799
603,0.955293,3.96006,0.76671
604,0.382323,3.98877,0.766675
